央视,#genre#
厦门卫视,http://39.135.53.194/ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8
海南卫视ᴴᴰ,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227000/index.m3u8
海峡卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226977/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
港台,#genre#
翡翠台ᴴᴰ,https://cdn.hkdtmb.com/hls/81/index.m3u8
翡翠台,http://185.207.176.189:8080/channels/tv-81/playlist.m3u8
J2台ᴴᴰ,https://cdn.hkdtmb.com/hls/82/index.m3u8
J2台,http://185.207.176.189:8080/channels/tv-82/playlist.m3u8
明珠台ᴴᴰ,https://cdn.hkdtmb.com/hls/84/index.m3u8
明珠台,http://185.207.176.189:8080/channels/tv-84/playlist.m3u8
明珠台(粤),https://cdn.hkdtmb.com/hls/84b/index.m3u8
无线新闻ᴴᴰ,https://cdn.hkdtmb.com/hls/83/index.m3u8
无线新闻,http://185.207.176.189:8080/channels/tv-83/playlist.m3u8
无线新闻(备),http://livetv.dnsfor.me:80/channel.10.m3u8
无线财经资讯台,http://185.207.176.189:8080/channels/tv-85/playlist.m3u8
无线财经资讯台ᴴᴰ,https://cdn.hkdtmb.com/hls/85/index.m3u8
ViuTVᴴᴰ,https://cdn.hkdtmb.com/hls/99/index.m3u8
ViuTV,http://185.207.176.189:8080/channels/tv-99/playlist.m3u8
ViuTV6,https://cdn.hkdtmb.com/hls/96/index.m3u8
TVB星河频道,http://50.7.161.82:8278/streams/d/Xinhe/playlist.m3u8
Now新闻台,http://livetv.dnsfor.me:80/channel.4.m3u8
Now直播台,http://livetv.dnsfor.me:80/channel.3.m3u8
有线综合娱乐台,https://uc6.i-cable.com/liveJoemud_ts/_definst_/4-c0a864cc-1623762001-1623763081-0bdc7f704e291b3cc65f9ebc85a5a86b-8d93040f6672be2_8ab-03/Stream1/playlist.m3u8
有线新闻台,http://hkyx.love.sky-media.tk/test/index.php?id=37
有线直播新闻台,http://hkyx.love.sky-media.tk/test/index.php?id=39
有线财经资讯台,http://hkyx.love.sky-media.tk/test/index.php?id=38
澳視澳門,http://live4.tdm.com.mo/ch1/_definst_/ch1.live/playlist.m3u8
澳视澳门,http://live3.tdm.com.mo:1935/ch1/ch1.live/playlist.m3u8
澳视澳门,http://live4.tdm.com.mo:80/ch1/_definst_/ch1.live/playlist.m3u8
澳門-MACAU,http://live4.tdm.com.mo:80/ch3/_definst_/ch3.live/playlist.m3u8
澳門-MACAU,http://live4.tdm.com.mo/ch3/_definst_/ch3.live/playlist.m3u8
澳门体育,http://live3.tdm.com.mo:1935/ch4/sport_ch4.live/playlist.m3u8
澳门体育,http://live4.tdm.com.mo:80/ch4/_definst_/sport_ch4.live/playlist.m3u8
澳门卫星,http://live3.tdm.com.mo:1935/ch3/ch3.live/playlist.m3u8
澳门综艺,http://live2.tdm.com.mo:1935/ch6/hd_ch6.live/playlist.m3u8
澳门综艺,http://live4.tdm.com.mo/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳门资讯,http://live3.tdm.com.mo:1935/ch5/info_ch5.live/playlist.m3u8
澳门资讯,http://live4.tdm.com.mo:80/ch5/_definst_/info_ch5.live/playlist.m3u8
澳門資訊,http://live4.tdm.com.mo/ch5/_definst_/info_ch5.live/playlist.m3u8
澳门新闻,http://202.175.127.77/live/show/ch2/index.m3u8
凤凰中文,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8$JS1080P
凤凰中文(备),http://125.210.152.21:9090/live/FHZW.m3u8
凤凰资讯,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰资讯(备),http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
香港开电视,http://livetv.dnsfor.me:80/channel.9.m3u8
香港开电视,https://cdn.hkdtmb.com/hls/77/index.m3u8
RHK31,https://cdn.hkdtmb.com/hls/31/index.m3u8
RHK32,https://cdn.hkdtmb.com/hls/32/index.m3u8
RHK33,https://cdn.hkdtmb.com/hls/33/index.m3u8
三立新闻,http://60.199.188.61/HLS/WG_ETTV-N/index.m3u8
民视,http://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
TVBS新闻台,http://198.16.106.62:8278/streams/d/tvbs_n/playlist.m3u8
TVBS欢乐台,http://198.16.106.62:8278/streams/d/tvbsgbk_twn/playlist.m3u8
TVBSᴴᴰ,http://198.16.106.62:8278/streams/d/tvbs/playlist.m3u8
中天新闻,http://198.16.106.62:8278/streams/d/ctinews/playlist.m3u8
中天娱乐,http://198.16.106.62:8278/streams/d/ctient/playlist.m3u8
中天综合,http://198.16.106.62:8278/streams/d/ctizhonghe/playlist.m3u8
民视,http://198.16.106.62:8278/streams/d/ftvhd_taiwan/playlist.m3u8
民视台湾台,http://198.16.106.62:8278/streams/d/ftvtaiwan_twn/playlist.m3u8
三立台湾,http://198.16.106.62:8278/streams/d/sanlitaiwan/playlist.m3u8
纬来日本台,http://198.16.106.62:8278/streams/d/videolandjapan_zero/playlist.m3u8
纬来电影台,http://198.16.106.62:8278/streams/d/videolandmovie_zero/playlist.m3u8
纬来精彩台,http://198.16.106.62:8278/streams/d/videolandspecial_zero/playlist.m3u8
纬来体育台,http://198.16.106.62:8278/streams/d/videolandsport_zero/playlist.m3u8
纬来戏剧台,http://198.16.106.62:8278/streams/d/videolandxiju_zero/playlist.m3u8
纬来综合台,http://198.16.106.62:8278/streams/d/videolandzonghe_zero/playlist.m3u8
亚洲美食,http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
美食星球,http://198.16.106.62:8278/streams/d/foodplanet_zero/playlist.m3u8
亚洲旅游,http://198.16.106.62:8278/streams/d/tlcasia_zero/playlist.m3u8
MTV Live,http://198.16.106.62:8278/streams/d/mtvlive_zero/playlist.m3u8
MTV,http://190.2.155.162:8080/mtvfrance/mpegts
三立戏剧台,http://198.16.106.62:8278/sanlixiju_zero/playlist.m3u8
爱尔达体育3台,http://198.16.106.62:8278/eltasport3_zero/playlist.m3u8
爱尔达综合台,http://198.16.106.62:8278/streams/d/eltazonghe_zero/playlist.m3u8
Discovery Eve,http://198.16.106.62:8278/streams/d/eve_zero/playlist.m3u8
BBC Earthᴴᴰ,http://198.16.106.62:8278/streams/d/bbcearthᴴᴰ_zero/playlist.m3u8
BBC Earth Lifestyle,http://198.16.106.62:8278/streams/d/bbclifestyle_zero/playlist.m3u8
Luxe TV,http://198.16.106.62:8278/streams/d/luxetv_zero/playlist.m3u8
Nickelodeon,http://198.16.106.62:8278/streams/d/Nickelodeon/playlist.m3u8
Nick Jr,http://198.16.106.62:8278/streams/d/Nickjr/playlist.m3u8
Baby TV Eng,http://198.16.106.62:8278/streams/d/Babytv/playlist.m3u8
CBeebies,http://198.16.106.62:8278/streams/d/Cbeebies/playlist.m3u8
Disney Channel,http://198.16.106.62:8278/streams/d/Disneyxd/playlist.m3u8
Disney Junior,http://198.16.106.62:8278/streams/d/Disneyjr/playlist.m3u8
体育,#genre#
CCTV5,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://183.207.255.190/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5+,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV5+,http://183.207.255.190/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
劲爆体育,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
魅力足球,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/mlyyhd/4000000/mnf.m3u8
五星体育,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
新视觉,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/xsjhd/4000000/mnf.m3u8
NBA TVᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/46944
BEIN Sport 1ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20066
BEIN Sport 2ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20067
BEIN Sport 3ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20068
BEIN Sport 4ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20069
BEIN Sport 5ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20070
BEIN Sport 6ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20071
BEIN Sport 7ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20072
BEIN Sport 8ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20073
BEIN Sport 9ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20074
BEIN Sport 10ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/20075
BEIN Sport 11ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/24723
BEIN Sport 12ᴴᴰ,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/24724
BEIN SPORTS 1HD,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/998
BEIN SPORTS 2HD,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/999
BEIN SPORTS 3HD,http://iptv.nonland.net:8080/KING_IPTV_xui/QtChUjfXPF/1000
